F_0	F_3	F_7
P62851	P62851	P62851
P18621	P18621	P18621
P13500	P17676	P17676
P02462	P02462	P02462
Q16270	Q16270	Q16270
P62857	P62857	P62857
P02461	P02461	P02461
P51884	P51884	P51884
P16035	P16035	P16035
Q9Y3U8	Q9Y3U8	Q9Y3U8
P27797	P30101	P27797
Q01995	P27797	Q01995
O43680	Q01995	O43680
P10321	Q15293	P10321
P08572	P08572	P08572
P83110	P51888	P51888
Q96S97	P30050	P30050
P55268	P62913	P62913
P51888	P11940	Q96CG8
P30050	P62917	P11940
P62913	P10909	P62917
P62917	P62753	P10909
P62753	P62750	P62753
P62750	P35442	P62750
P24043	P35443	P21741
P35443	P31949	P35442
P00156	P00156	P35443
Q92743	Q92743	P00156
P36578	P63313	Q92743
P63313	P02792	P63313
P01100	Q15582	P02792
P02792	P00395	Q15582
Q15582	P17275	P62745
O14558	P23396	P00395
Q9H0B8	P35268	P24592
P00395	P49207	P23396
P24592	P06454	Q9BXN1
P24593	P07858	P35268
P23396	P02545	P21810
P35268	P62745	P06454
P21810	P00403	P07858
P06454	P17813	P02545
P07858	Q15084	O14558
P62745	O14604	P00403
P00403	O75293	O14604
O14604	P63244	O75293
O75293	P62987	P63244
P63244	Q9NRN5	P62987
P62987	P07093	P07093
Q15012	P18146	P18146
P07093	P27658	P27658
P18146	P08670	P08670
P08670	O15143	Q9BRK3
Q9BRK3	P03891	P49207
P49207	P12109	P12109
O14495	P03897	P23284
P12109	P62979	Q9Y693
P03897	P39019	P62979
P05067	P05997	P39019
Q9Y693	P03905	P05997
Q99969	O14543	P03905
P62979	P07355	O14543
P39019	Q13361	P07355
P05997	P21810	Q13361
P39023	P62280	P17275
O14543	Q02543	P62280
P07355	P03886	Q02543
Q13361	P00414	P03886
P17275	Q07507	P12814
P62280	Q9C0I4	P00414
Q02543	P14618	Q07507
P03886	P29279	Q9C0I4
P00414	P12111	P49716
Q07507	P12110	P29279
Q9C0I4	P49716	P12111
P49716	P07996	P12110
P12111	P05121	P35625
P12110	Q76M96	P07996
P35625	P07900	Q76M96
Q76M96	P39023	P39023
P03905	P08253	P08253
P08253	P03901	P05155
P03901	Q6IS14	Q14767
P05155	P09651	Q99715
Q9Y287	P14625	O75339
P03891	P05155	P28562
P00736	Q9Y287	P00736
P08962	P09493	P67936
P05412	P00736	P05412
P68104	P67936	P68104
P0CG47	P09382	Q8N474
P62888	P68104	P0CG47
P08493	Q8N474	Q15370
P63220	P0CG47	P62888
P01019	Q15370	P08493
P14543	P62888	P63220
Q9NS15	P08493	P61927
Q96D15	P63220	Q9NS15
P03915	P61927	Q96D15
Q96BM0	Q96D15	Q9NQX7
P00846	P03915	Q9Y287
Q14195	Q15063	Q15063
P36955	P00846	P00846
P09486	Q14195	Q14195
P98095	P36955	P36955
Q5JWF2	P09486	P09486
P07585	P10451	Q9BQB6
P62266	P98095	P98095
P02751	Q5JWF2	P07585
P47914	P07585	P68133
P48307	P37802	P62266
P61769	P62266	P02751
Q9UBG0	P02751	P24821
Q9UKU9	P24821	Q06828
P62269	P55001	P08962
P03923	Q06828	Q9UBG0
P22692	P08962	Q9UKU9
P46783	Q9UBG0	Q96HF1
P98160	P62269	Q9UBX5
P35555	P03923	O95460
P22105	O95460	P46783
Q92522	P46783	P98160
P09382	P98160	P62829
P28906	P62829	P09382
A6ZKI3	P35579	P23528
O00168	O14519	P28906
P11047	P05412	A6ZKI3
P07602	P23528	P61769
P62701	P23284	P07602
P24534	P61769	P62701
Q15113	P07602	P24534
P43308	P05556	Q15113
P62273	P62701	P43308
Q02878	P24534	P62273
Q14515	Q15113	P14618
P01036	P43308	Q02878
P47974	Q02878	P62269
P39059	P01033	P01036
P04216	P60842	P47914
Q9H3M7	P04216	P04216
P50914	P50914	Q9H3M7
Q07954	P42677	P50914
P42677	P47914	P42677
P55001	Q71U36	P55001
Q71U36	P06733	Q71U36
P08123	P62736	P62736
P01024	P14174	P61513
P26641	P61513	P08123
P25398	P08123	P26641
Q8IUX7	Q96AY3	P25398
P46782	P26641	Q8IUX7
P46781	P25398	P46782
P26373	Q8IUX7	P46781
P00746	P46782	P26373
P34096	P46781	P36578
P60709	P26373	P01100
P50454	P36578	P60709
P62249	P01100	P50454
P13639	P60709	P62249
Q6UXB8	P50454	P13639
Q16610	P62249	Q6UXB8
P12236	P13639	Q16610
P42766	Q6UXB8	P12236
P46776	P12236	P42766
P07942	P42766	P46776
P61927	P46776	P48307
P15880	P13500	O75506
P08294	P46778	P15880
P20908	Q96HF1	P20908
P28562	P15880	Q5JWF2
Q9UBX5	P20908	P09668
Q13228	P28562	Q9NR99
P18124	P22692	P18124
P62829	Q9NR99	P35555
P05452	P18124	Q9UI14
Q9UI14	P35555	P18848
P18848	Q9UI14	P11021
P11021	P07437	P63261
P63261	P18848	Q08397
Q08397	P11021	Q14515
	P63261	P07737
	Q08397	
	P07737	
