CM_0	CM_3	CM_7
P62851	P62851	P62851
P18621	P18621	P18621
P02462	P17676	P02462
Q16270	P02462	Q16270
P62857	Q16270	P62857
Q9Y3U8	P62857	P02461
P08574	P02461	P46783
P10321	P46783	Q9Y3U8
Q9UBY9	Q9Y3U8	P55899
P35609	P30101	P46782
P62917	P27797	P10321
Q9UII2	Q01995	P08572
P48735	Q8IV08	P35579
P62750	P10321	P51888
P63316	P08572	P30050
P63313	P35579	P07602
O15273	O75506	P01906
P02792	P30050	P62917
P00395	P62913	P62753
P23396	P11940	P62750
P19429	P10909	P35443
P12235	P62917	Q92743
P40926	Q6IS14	P63316
P30049	P62753	P63313
P49207	P14618	P16035
P17540	P13284	O15273
Q00325	P31949	P02792
Q01449	P08962	P16860
O14558	P00338	O14558
P00403	Q92743	P00395
O14604	P63313	P17275
P63244	P25963	Q9UBR2
P62987	P02792	P23396
P08670	P04080	P19429
P31930	P00395	P12235
P06307	Q9UBR2	P07919
P03891	P23396	P35268
O75251	P22626	P27797
P03897	P35268	P49207
O00483	P55899	P06454
P62979	P49207	P07858
P39019	P06454	Q00325
O00168	P07858	P62745
Q9Y6M9	P02545	P00403
Q9NPC6	Q00325	P17813
P04792	P21673	O14604
P25705	P62745	Q30154
P03886	P00403	P63244
P62913	P17813	P62987
P00414	O14604	P18146
P02042	Q99538	Q15370
P56381	P62987	P08670
P14618	P63244	O15143
P14854	P37837	Q14896
P62269	P08670	P03891
P00156	O15143	P12109
P03905	O15144	P03897
P17275	P03891	O00483
P03901	P12109	P62979
O60894	P03897	P39019
P13164	P08253	P03905
P05496	P62979	O14543
P09493	P39019	P07355
P12883	P39023	P08253
P62753	P07355	P62280
P68104	P17275	Q02543
P0CG47	P62280	P03886
Q15370	P09668	P62913
P15259	P03886	P00414
P63220	P00414	P56381
P55042	Q15365	P14618
P03915	P00156	P00156
P42766	P12110	P12110
P02511	Q15084	P15328
P00846	P15328	Q76M96
P09486	P40121	P39023
P60174	P07900	P21810
Q5JWF2	P03905	P03901
P68133	P21810	P13164
P62266	P03901	Q9Y287
P61769	O75531	P05496
P68032	P60842	P09493
P03923	P09651	P12883
P56134	Q9Y287	P48735
P10606	Q01469	O75339
P24844	P18848	P08962
P98160	P67936	P05412
P62829	P09382	P68104
Q96IX5	P62750	P27449
P07951	P07195	P0CG47
Q99798	P0CG47	P18124
P49821	Q15370	P62888
Q14896	P62888	P08493
Q6PKH6	P16035	P63220
P17661	P08493	P61927
P50461	P63220	P03915
P62273	P61927	P25705
Q02878	Q96D15	P42766
Q02543	Q96C19	P02511
P07195	P03915	P00846
P45379	P25705	P09486
P50914	P00846	P10451
P42677	P18669	Q5JWF2
P47914	Q9NPE3	P07585
O14957	Q8WWP7	P07339
P06732	P09486	P68133
P56378	P10451	P62266
Q15327	P60174	P02751
P61513	P07333	P61769
P13073	Q5JWF2	P24534
P26641	P43235	P68032
P62280	P07339	P04899
P25398	P37802	P03923
P24310	P62266	P25774
P46782	P02751	P10606
P46781	P61769	P98160
P26373	P24534	P62829
P36578	P62269	Q96IX5
P01100	P04899	P67936
P60709	Q06830	P09382
P62249	P03923	P23528
P13639	Q14019	P01903
P12236	P98160	Q9UBY9
P10916	P62829	P62701
P46776	P17931	Q9UBG0
P09105	Q92522	Q13571
P56385	P05412	P17661
P15880	P23528	P50461
P17568	P23284	P62273
Q96BM0	P68104	Q02878
P07919	P07602	P62269
P13929	P62701	P07195
P06576	Q9HB40	P01036
O95167	Q13571	P47974
P63261	P53634	P04216
P08590	P11279	P45379
	P43308	P02649
	O43914	P50914
	P62273	P42677
	Q02878	P47914
	P01033	Q71U36
	P27449	P06732
	P01036	P62736
	P02649	Q15327
	P50914	Q9NPC6
	P08758	P61513
	P42677	P08123
	P47914	P60660
	P13796	P26641
	Q71U36	P04792
	P06733	P25398
	P62736	P24310
	P14174	Q01995
	P13686	P46781
	P61513	P26373
	P08123	P36578
	P25774	P01100
	P60660	P60709
	P26641	P50454
	O95166	P62249
	P04792	P13639
	P25398	Q6UXB8
	Q9HCJ1	P12236
	P46782	Q96BM0
	P46781	P10916
	P26373	P46776
	P36578	P13805
	P01100	Q96HF1
	P60709	P15880
	P50454	P20908
	P62249	P28562
	P13639	P09668
	Q16610	P13929
	P12236	P06576
	P42766	P54368
	P46776	P07437
	Q96CW1	P63261
	P46778	Q14515
	Q96HF1	P08590
	P04632	P07737
	P15880	
	P20908	
	P28562	
	Q8WUW1	
	P18124	
	P28799	
	P06576	
	Q9UI14	
	P54368	
	P07437	
	P06744	
	P11021	
	P63261	
	Q02543	
	P07737	
