Mo_0	Mo_3	Mo_7
P62851	P62851	P62851
P18621	P18621	P18621
P25398	P17676	P17676
P02462	P62857	P02462
Q16270	P16035	Q16270
P62857	Q9Y3U8	P62857
P02461	P30101	P02461
Q15942	P55899	P28067
P28067	Q8IV08	Q9Y3U8
Q9Y3U8	P10321	P55899
P55899	Q9H4X1	P10321
P10321	P30050	P08572
P08572	P62913	P30050
P30050	P01906	P62913
P62913	P62917	P01906
P01906	P62753	P62917
P62917	P62750	P62753
P62753	P13284	P62750
P62750	P10124	P13284
P13284	P00338	P35443
Q96BM0	Q92743	P31949
P36578	Q14019	P00746
P63313	P25963	P63313
P25963	P02792	P25963
P02792	P04080	P02792
P00395	P00395	P04080
Q9UBR2	Q9UBR2	P00395
P23396	P23396	Q9UBR2
P35268	P32249	P23396
P49207	P35268	P43308
P06454	P27797	P35268
P07858	P49207	P27797
P07355	P06454	P06454
P21673	P07858	P07858
P62745	P84095	P21673
P00403	P21673	P62745
O14604	P62745	P00403
O75293	P00403	P17813
Q9Y5Q3	O14604	O14604
P63244	Q9Y5Q3	O75293
P62987	Q99538	P63244
P18146	P62987	P62987
P08670	P63244	Q99538
O15143	P37837	P08670
O15144	P61626	O15143
P03891	P08670	O15144
P03897	O60234	P49207
P55774	O15143	P03897
P62979	O15144	P08253
P39019	P03891	P62979
P03905	Q16610	P39019
O14543	P03897	P03905
P37802	P01584	O14543
P62280	P62979	P07355
Q02543	P39019	Q5JWF2
P03886	P39023	P62280
P00414	P07355	Q02543
Q15365	P10145	P03886
P11940	Q5JWF2	P00414
P00156	P62280	P14618
P02747	P09668	P11940
O00141	P17947	P00156
P15328	P03886	P02747
Q07352	P00414	O00141
P30273	Q9HCJ1	P15328
P07900	P17931	Q07352
P39023	P14618	P30273
P17275	P11940	P39023
P62273	P00156	P17275
P03901	P61916	P62273
O60895	O00141	P03901
P13164	P15328	O60895
P60842	P40121	P13164
Q9Y287	P30273	P60842
P05412	P03905	P09651
P68104	P17275	Q9Y287
P0CG47	P03901	P03891
P62888	P13164	Q01469
P63220	P60842	P35579
P61927	P09651	P05412
B6SEH9	Q9Y287	P68104
P03915	P01033	P0CG47
P41220	P09382	P62888
Q14019	P68104	Q08116
P63173	Q02543	P61927
P01137	P0CG47	B6SEH9
P00846	P63220	P03915
O00584	P61927	Q03405
O00585	Q96C19	P63173
Q8WWP7	P03915	P01137
P09486	P41220	P00846
P10451	Q03405	Q15365
P07333	Q9NPE3	O00584
O00182	P63173	O00585
P62266	P00846	Q8WWP7
P08708	P18669	P09486
P61769	O00584	P10451
P24534	Q8WWP7	Q02363
P62269	Q13501	P07333
P04899	P10451	P07339
P03923	P07333	P37802
P25774	O00182	P62266
P84243	P07339	P55058
P98160	P37802	P08708
P62829	P62266	P61769
Q92522	P02751	P24534
Q9H4X1	P61769	P62269
P23528	P24534	P04899
Q71U36	P62269	P03923
A6ZKI3	P04899	P25774
P01903	Q06830	P98160
P07602	P03923	P62829
P62701	P25774	Q92522
P26641	P62829	Q9H4X1
Q13571	P06744	P23528
P11279	P05412	P13236
Q30154	P23528	A6ZKI3
P62277	P13236	P01903
P62324	P01903	P07602
O43914	P34810	P62701
P02746	P07602	Q13571
P02745	P62701	P11279
Q02878	Q9HB40	Q30154
P08962	Q13571	P62277
P27449	P53634	P62324
P01036	P11279	O43914
P47974	Q30154	P02746
Q9H3M7	P62324	P02745
P50914	O43914	Q02878
P42677	P19876	P08962
P47914	P62273	P27449
P13236	Q02878	P01036
P06733	P08962	P47974
Q9NUV9	P27449	P02649
Q9BTL4	P01036	P50914
P28068	P47974	P42677
P61513	P02649	P47914
P60660	P50914	Q71U36
Q5JWF2	P42677	P06733
P04792	P47914	Q9BTL4
P17676	Q71U36	Q9H3M7
P46783	P06733	O14503
P46782	P14174	P61513
P46781	Q9NUV9	P08123
P26373	P13686	P41567
O75807	P61513	P60660
P00746	P60660	P26641
P01100	P26641	P04792
P60709	O95166	P25398
P50454	P25398	P46783
P62249	P46783	P46782
P13639	P46782	P46781
Q08116	P46781	P26373
P12236	P26373	O75807
P42766	P36578	P36578
P46776	P01100	P01100
Q01151	P60709	P09382
P15880	P62249	P60709
P28562	P13639	P50454
P09668	Q08116	P62249
P18124	P12236	P13639
P05452	P42766	P63220
P54368	P46776	P12236
P18848	Q96CW1	P42766
P63261	Q01151	P46776
P18847	P04632	Q01151
P07737	P15880	P15880
	P28562	P28562
	P18124	P09668
	P28799	P18124
	P63313	P28799
	P54368	P54368
	P07437	P18848
	P18848	P63261
	P11021	P18847
	P63261	P07737
	P13796	
	P07737	
